epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.96,1.15674,3.74012,0.00212,0.01776,0.28189,0.07649,0.04927,0.89989,3.50743,0.00177,0.000362454,0.000362454,0.000362454
2,26.6616,0.99325,1.75993,0.0018,0.96425,0.08771,0.18035,0.14238,0.72874,1.99438,0.0013,0.000718278,0.000718278,0.000718278
3,38.1289,0.94428,1.30738,0.00157,0.95468,0.1998,0.22491,0.18148,0.73781,1.0347,0.0014,0.00105944,0.00105944,0.00105944
4,49.8191,0.88535,1.08103,0.00148,0.95729,0.20732,0.22908,0.18866,0.68894,0.65973,0.00127,0.00104501,0.00104501,0.00104501
5,61.2692,0.80243,0.96066,0.0014,0.9631,0.21045,0.24805,0.21123,0.63556,0.54552,0.00121,0.00102301,0.00102301,0.00102301
6,72.7674,0.76938,0.86463,0.00132,0.96686,0.21515,0.28494,0.23777,0.64839,0.49819,0.00115,0.00100101,0.00100101,0.00100101
7,84.3027,0.74741,0.79107,0.00129,0.96559,0.22201,0.28874,0.24892,0.61614,0.46161,0.00118,0.000979013,0.000979013,0.000979013
8,95.7611,0.74081,0.73381,0.00128,0.84251,0.31227,0.31047,0.27052,0.66332,0.48592,0.00123,0.000957015,0.000957015,0.000957015
9,107.409,0.74004,0.69843,0.00127,0.81943,0.27292,0.32586,0.29311,0.57038,0.41449,0.00104,0.000935018,0.000935018,0.000935018
10,119.08,0.72631,0.64558,0.00121,0.92893,0.3188,0.40276,0.35932,0.58034,0.41964,0.00107,0.00091302,0.00091302,0.00091302
11,130.832,0.71805,0.60444,0.00119,0.86472,0.39982,0.41463,0.36384,0.54376,0.37797,0.00098,0.000891022,0.000891022,0.000891022
12,142.544,0.73177,0.57447,0.0012,0.83538,0.46521,0.42939,0.37787,0.54953,0.3876,0.001,0.000869024,0.000869024,0.000869024
13,154.249,0.707,0.54963,0.00121,0.98861,0.3632,0.44226,0.38887,0.57581,0.36895,0.00107,0.000847026,0.000847026,0.000847026
14,165.992,0.70117,0.52415,0.00115,0.67691,0.35828,0.43066,0.37659,0.56598,0.37334,0.00105,0.000825029,0.000825029,0.000825029
15,177.74,0.70252,0.51006,0.00115,0.87732,0.3942,0.41886,0.36937,0.54317,0.356,0.00099,0.000803031,0.000803031,0.000803031
16,189.389,0.66816,0.47943,0.00117,0.68891,0.36831,0.41722,0.37446,0.54553,0.34252,0.00099,0.000781033,0.000781033,0.000781033
17,201.278,0.70769,0.47999,0.00117,0.66674,0.39603,0.43695,0.38235,0.5654,0.34103,0.00102,0.000759035,0.000759035,0.000759035
18,213.227,0.68917,0.46262,0.00111,0.67851,0.39488,0.44468,0.39136,0.55431,0.33631,0.00101,0.000737037,0.000737037,0.000737037
19,225.239,0.67434,0.44439,0.00109,0.6535,0.44396,0.45257,0.40122,0.55665,0.33349,0.00102,0.00071504,0.00071504,0.00071504
20,237.546,0.67732,0.42995,0.00109,0.72658,0.36846,0.45819,0.40266,0.55394,0.33031,0.00104,0.000693042,0.000693042,0.000693042
21,249.309,0.66638,0.42429,0.00109,0.71129,0.413,0.46201,0.40578,0.57746,0.32268,0.00104,0.000671044,0.000671044,0.000671044
22,261.304,0.6551,0.40566,0.00109,0.98186,0.3907,0.59577,0.53667,0.54263,0.31074,0.001,0.000649046,0.000649046,0.000649046
23,273.017,0.64501,0.3963,0.00108,0.95131,0.4104,0.59712,0.5384,0.53298,0.30813,0.00096,0.000627048,0.000627048,0.000627048
24,284.849,0.65939,0.39802,0.00107,0.95704,0.4142,0.5882,0.53328,0.53193,0.30128,0.00096,0.000605051,0.000605051,0.000605051
25,296.593,0.66786,0.39782,0.00106,0.90241,0.45602,0.71792,0.64077,0.52942,0.29733,0.00096,0.000583053,0.000583053,0.000583053
26,308.43,0.64552,0.37174,0.00108,0.92291,0.4428,0.7212,0.59834,0.56317,0.2982,0.00104,0.000561055,0.000561055,0.000561055
27,320.161,0.65942,0.3787,0.00106,0.92121,0.43487,0.72325,0.6212,0.53344,0.30412,0.00095,0.000539057,0.000539057,0.000539057
28,331.938,0.63603,0.36411,0.00106,0.98246,0.39468,0.60249,0.52814,0.55483,0.30357,0.00102,0.000517059,0.000517059,0.000517059
29,343.708,0.63684,0.3579,0.00104,0.95423,0.40251,0.71099,0.61334,0.51405,0.29386,0.00092,0.000495062,0.000495062,0.000495062
30,355.692,0.64518,0.38159,0.00106,0.9384,0.44391,0.59164,0.51967,0.52508,0.30805,0.00097,0.000473064,0.000473064,0.000473064
31,367.338,0.61906,0.355,0.00103,0.96093,0.39636,0.59044,0.51921,0.51832,0.30323,0.00093,0.000451066,0.000451066,0.000451066
32,379.105,0.63283,0.35092,0.00103,0.89126,0.43045,0.54247,0.47667,0.51994,0.29647,0.00092,0.000429068,0.000429068,0.000429068
33,390.779,0.63118,0.35157,0.00101,0.91256,0.40707,0.53348,0.46845,0.51836,0.28474,0.00092,0.00040707,0.00040707,0.00040707
34,402.457,0.63063,0.34424,0.00101,0.90013,0.42622,0.71889,0.59609,0.51674,0.31462,0.00093,0.000385073,0.000385073,0.000385073
35,414.125,0.63225,0.34407,0.00103,0.91403,0.44588,0.72367,0.63007,0.51678,0.29165,0.00092,0.000363075,0.000363075,0.000363075
